seed,epoch,loss_A,loss_B,eval_set,A_EM,B_EM,A_PD,B_PD
1,231,0.0012,0.0007,id,100.0,100.0,100.0,100.0
1,231,0.0012,0.0007,5dig,90.9,89.0,98.4,98.0
1,231,0.0012,0.0007,6dig,6.8,0.5,70.4,57.6
1,236,0.0009,0.0005,id,100.0,100.0,100.0,100.0
1,236,0.0009,0.0005,5dig,83.0,94.0,96.9,98.9
1,236,0.0009,0.0005,6dig,2.2,11.9,65.6,75.7
1,241,0.001,0.0006,id,100.0,100.0,100.0,100.0
1,241,0.001,0.0006,5dig,84.5,95.5,97.2,99.2
1,241,0.001,0.0006,6dig,2.0,4.7,64.5,68.5
1,246,0.001,0.0003,id,100.0,100.0,100.0,100.0
1,246,0.001,0.0003,5dig,90.3,96.8,98.3,99.4
1,246,0.001,0.0003,6dig,2.2,7.0,67.7,73.7
1,251,0.001,0.0006,id,100.0,100.0,100.0,100.0
1,251,0.001,0.0006,5dig,97.4,71.4,99.5,94.8
1,251,0.001,0.0006,6dig,31.2,0.1,85.6,57.5
1,256,0.001,0.0006,id,100.0,100.0,100.0,100.0
1,256,0.001,0.0006,5dig,93.2,91.2,98.8,98.4
1,256,0.001,0.0006,6dig,7.9,1.8,75.2,61.6
1,261,0.002,0.0006,id,100.0,99.8,100.0,100.0
1,261,0.002,0.0006,5dig,97.8,96.1,99.6,99.3
1,261,0.002,0.0006,6dig,20.6,7.6,80.5,76.0
1,266,0.0011,0.0004,id,100.0,100.0,100.0,100.0
1,266,0.0011,0.0004,5dig,97.3,88.9,99.5,98.0
1,266,0.0011,0.0004,6dig,29.1,0.9,86.1,59.6
1,271,0.0009,0.0008,id,100.0,100.0,100.0,100.0
1,271,0.0009,0.0008,5dig,89.4,86.6,98.1,97.6
1,271,0.0009,0.0008,6dig,4.0,1.1,72.4,58.2
1,276,0.001,0.0006,id,100.0,100.0,100.0,100.0
1,276,0.001,0.0006,5dig,64.8,95.4,93.5,99.2
1,276,0.001,0.0006,6dig,0.5,2.5,58.2,66.9
1,281,0.0011,0.0003,id,100.0,100.0,100.0,100.0
1,281,0.0011,0.0003,5dig,85.7,98.1,97.4,99.7
1,281,0.0011,0.0003,6dig,4.3,2.9,73.1,67.9
1,286,0.0007,0.0004,id,100.0,100.0,100.0,100.0
1,286,0.0007,0.0004,5dig,91.9,87.3,98.6,97.7
1,286,0.0007,0.0004,6dig,3.6,0.1,68.0,63.9
1,291,0.0115,0.0003,id,100.0,100.0,100.0,100.0
1,291,0.0115,0.0003,5dig,61.3,78.7,93.0,96.0
1,291,0.0115,0.0003,6dig,1.2,0.0,66.1,52.1
1,296,0.0006,0.0005,id,100.0,100.0,100.0,100.0
1,296,0.0006,0.0005,5dig,95.3,74.5,99.2,95.1
1,296,0.0006,0.0005,6dig,14.8,0.2,79.0,55.9
1,300,0.0005,0.0008,id,100.0,100.0,100.0,100.0
1,300,0.0005,0.0008,5dig,79.3,88.4,96.3,97.9
